类型,,类型
试剂,条码类型,reagent
,项目名称,下拉选择框
,项目编号,不可选择，在选择名称后，自动对应填充
,试剂批号,只允许输入数字，范围：1-1000000
,生产日期,点击后弹窗选择
,有效天数,只允许输入数字，范围：1-1000（加密的时候不使用）
,过期时间,不可选择，在输入有效天数后，自动填充
,可测次数,只允许输入数字，范围：1-999
,开瓶有效天数,只允许输入数字，范围：1-999
,反应模式,不可选择，在选择名称后，自动对应填充，与项目编号数值一致
,序列号,类似流水号，可跟日期相关，每瓶都有唯一的序列号
,结果单位,下拉选择框，传输时，传送comboText
,曲线参数,"a,b,c,d:double类型"
,结果参数,结果范围：最大值、最小值
,,上下限：上限、下限
,瓶数（生成个数）,只允许输入数字，输入后，瓶数的序列号按序排列生成，根据个数，决定二维码生成个数
,,
校准品,条码类型,calibration
,项目名称,下拉选择框
,项目编号,不可选择，在选择名称后，自动对应填充
,校准品批号,
,生产日期,点击后弹窗选择
,有效天数,只允许输入数字，范围：1-1000（加密的时候不使用）
,反应模式,不可选择，在选择名称后，自动对应填充，与项目编号数值一致
,过期时间,不可选择，在输入有效天数后，自动填充
,C0浓度值,int
,C1浓度值,int
,瓶数（生成个数）,只允许输入数字，输入后，瓶数的序列号按序排列生成，根据个数，决定二维码生成个数
,,
质控品,条码类型,qc
,项目名称,下拉选择框
,项目编号,不可选择，在选择名称后，自动对应填充
,批号,
,生产日期,点击后弹窗选择
,有效天数,只允许输入数字，范围：1-1000（加密的时候不使用）
,过期时间,不可选择，在输入有效天数后，自动填充
,瓶数（生成个数）,只允许输入数字，输入后，瓶数的序列号按序排列生成，根据个数，决定二维码生成个数
,,
耗材,条码类型,consumable
,耗材类型,下拉选择框：激发液A、激发液B
,批号,
,生产日期,点击后弹窗选择
,有效天数,只允许输入数字，范围：1-1000
,过期时间,不可选择，在输入有效天数后，自动填充
,反应模式,不可选择，在选择名称后，自动对应填充，与项目编号数值一致
,可用次数,默认2000
,开瓶有效天数,
,瓶数（生成个数）,只允许输入数字，输入后，瓶数的序列号按序排列生成，根据个数，决定二维码生成个数
